TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7517845402460788 VAR: 0.0005382542229324639 F1: 0.7503160568767778 SEED: 2327
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7359976206130052 VAR: 0.0007622855399736102 F1: 0.7322218275087606 SEED: 19131
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7531307723615415 VAR: 0.00034101193751317886 F1: 0.7510531199205785 SEED: 19131
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7544378698224852 VAR: 0.00044699213140485835 F1: 0.7533101318291864 SEED: 19131
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7452177452177452 VAR: 0.0006906714562416299 F1: 0.7426863790365238 SEED: 30862
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7478201997432766 VAR: 0.0009414245404942188 F1: 0.746199285446548 SEED: 30862
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7530955511724743 VAR: 0.0009113937379814613 F1: 0.7522355508333295 SEED: 30862
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.739281018127172 VAR: 0.0008515613710468169 F1: 0.7354803580580627 SEED: 14171
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7485050561973637 VAR: 0.0010043745638429824 F1: 0.7462819632548003 SEED: 14171
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7379739206662285 VAR: 0.0003625891106534507 F1: 0.7364140745274275 SEED: 14171
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7412729720422028 VAR: 0.0006397842757187995 F1: 0.7392141165063157 SEED: 21305
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7458869478100247 VAR: 0.0008204173364155838 F1: 0.744260520937213 SEED: 21305
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7451942644250337 VAR: 0.0009282196729515466 F1: 0.7437361600225851 SEED: 21305
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7327063961679345 VAR: 0.0008891368144787309 F1: 0.7305281008022932 SEED: 19042
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 512, 0.3, 32] AVG: 0.7465326696095926 VAR: 0.0013589812329315209 F1: 0.7447723511636829 SEED: 19042
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0001, 256, 0.3, 32] AVG: 0.7498043267274037 VAR: 0.0008554994020985407 F1: 0.7484805601243915 SEED: 19042
TrainShape:(1182, 837) #EPOCH: [[], 200, 'bert', 0.0005, 512, 0.7, 32] AVG: 0.7439184746877054 VAR: 0.000530849899984217 F1: 0.7410787578843226 SEED: 27421
