,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
/home/lucas/Lux/res/readability/input_texts/469.txt,12.475000000000001,15.310857142857145,17.451608800000002,36.792500000000004,16.142857142857146,46.07142857142857,13.954451150103322,5.0,12.173928571428572,5.942857142857143,1.8,17.5,1.0,0.9142857142857143,208,63,35,32,2,2,10,8,17,2,0,0,0,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/470.txt,8.206155401988877,10.333359177481881,9.596384776504298,72.7936355975055,12.33783920444969,40.586718354963764,10.970533969860858,4.117647058823529,11.079343350750042,4.564469914040115,1.33810888252149,20.529411764705884,0.9714285714285714,0.6088825214899714,3186,934,698,425,34,35,140,72,284,13,7,2,5,5,6,1,1,0
/home/lucas/Lux/res/readability/input_texts/471.txt,21.870578125000005,26.496503906250005,11.49319126757813,29.454109375000023,26.105000000000004,76.0046875,17.69693845669907,12.7,12.343988750000001,4.740234375,1.482421875,51.2,1.0,0.509765625,2427,759,512,261,10,10,127,72,200,21,12,0,1,0,12,0,1,1
/home/lucas/Lux/res/readability/input_texts/472.txt,11.337142857142858,12.512146892655366,12.791622474576272,48.80941081517356,15.130589184826475,49.20661824051655,13.350983390135314,5.809523809523809,11.18794729620662,5.11864406779661,1.631961259079903,19.666666666666668,1.0,0.6295399515738499,2114,674,413,260,21,21,122,75,172,14,6,0,1,1,10,1,1,1
/home/lucas/Lux/res/readability/input_texts/473.txt,10.716475409836065,13.432131147540979,7.712435245901641,72.5545491803279,14.822950819672133,46.893442622950815,10.745966692414834,5.0,8.126103278688525,4.163934426229508,1.221311475409836,30.5,1.0,0.7868852459016393,508,149,122,96,4,4,20,8,23,4,0,0,2,0,0,0,1,0
/home/lucas/Lux/res/readability/input_texts/474.txt,25.87,33.082857142857144,8.135903285714289,34.265000000000015,29.142857142857146,80.0,10.745966692414834,7.0,10.492071428571428,4.142857142857143,1.2,70.0,1.0,0.8428571428571429,290,84,70,59,1,1,7,2,15,3,1,0,1,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/475.txt,9.22999017268005,11.453410080022465,8.665219195704061,72.78720904113437,12.43638916187,44.93345500491366,9.902684899626333,5.0,10.097204141513409,4.365155131264917,1.2887828162291168,24.647058823529413,1.0,0.47255369928400953,1829,540,419,198,17,17,85,27,139,18,4,0,0,1,1,1,2,0
/home/lucas/Lux/res/readability/input_texts/476.txt,14.83803505045141,18.0775570897504,8.762899899628255,57.12665427509296,18.79150292087095,52.92671269251195,12.92831448793946,5.571428571428571,10.590661232076474,4.308550185873606,1.308550185873606,38.42857142857143,1.0,0.587360594795539,1159,352,269,158,7,7,39,23,86,17,2,0,1,0,1,0,0,0
/home/lucas/Lux/res/readability/input_texts/477.txt,18.986153846153844,22.2325,5.679651096153851,51.55884615384618,23.107692307692307,63.53846153846154,12.486832980505138,6.0,9.859546153846154,3.75,1.2115384615384615,52.0,1.0,0.8461538461538461,195,63,52,44,1,1,6,3,12,2,0,0,0,0,0,0,0,0
/home/lucas/Lux/res/readability/input_texts/478.txt,24.727519083969472,32.2093893129771,9.8252942519084,34.44104961832063,28.948091603053435,82.29389312977099,14.61895003862225,11.0,13.032551908396947,4.435114503816794,1.251908396946565,65.5,1.0,0.7175572519083969,581,164,131,94,2,2,22,9,51,5,0,0,0,0,3,0,0,0
